Codigo_Accidente;Formulario;Longitud;Latitud;Direccion;Fecha_Acc;AA_Acc;MM_Acc;DD_Mes_Acc;Dia_Semana_Acc;Hora_Acc;Min_Acc;Localidad;Clase_Acc;Elemento_Choque;Tipo_Objeto_Fijo;Gravedad_Indicador_Tradicional;Gravedad_indicador_30d;Con_Bicicleta;Con_Carga;Con_Embriaguez;Con_Huecos;Con_Menores;Con_Moto;Con_Peaton;Con_Persona_Mayor;Con_Rutas;Con_Tpi;Con_Tpp;Con_Velocidad;Con_Sitp;Con_Troncal;Con_Alimentador;Con_Zonal;Con_Provisional;Con_Articulado;Con_Biarticulado;Con_Padron_Dual;
10588437;A001568087;-74,08132989;4,600968861;KR 14 - CL 10  02;06/03/2023;2023;Marzo;6;lunes;4;57;SANTA FE;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;SI;;;;;;;;;;;
10589835;A001568717;-74,13762478;4,630413736;AV AVENIDA BOYACA - CL 6  02;12/04/2023;2023;Abril;12;miércoles;18;20;KENNEDY;Atropello;;;Con Heridos;Con Heridos;;;;;;SI;SI;SI;;;;;;;;;;;;;
10589837;A001569127;-74,08908269;4,695431414;AV AVENIDA BOYACA - CL 80  02;11/04/2023;2023;Abril;11;martes;9;45;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;SI;;;;;;;;;;;;;
10589839;A001569210;-74,08677718;4,645771577;CL 45 A S- KR 50 A 02;12/04/2023;2023;Abril;12;miércoles;18;10;PUENTE ARANDA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;SI;;;;;;;;;;;
10589843;A001569374;-74,12831779;4,629756349;CL 6 - KR 69  02;11/04/2023;2023;Abril;11;martes;14;20;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;SI;SI;;;;;;;;;;;;;;;
10589849;A001569204;-74,14419197;4,635193821;KR 78 - CL 7 A BIS 02;11/04/2023;2023;Abril;11;martes;7;30;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10589851;A001569535;-74,12672612;4,60219673;KR 51 C - CL 33 S 02;12/04/2023;2023;Abril;12;miércoles;5;40;PUENTE ARANDA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10589935;A001569646;-74,15369437;4,670088564;KR 104 - CL 15 D 02;16/04/2023;2023;Abril;16;domingo;15;32;FONTIBON;Atropello;;;Con Heridos;Con Heridos;SI;;;;;;SI;SI;;;;;;;;;;;;;
10589942;A001569588;-74,10089609;4,635500506;KR 50 - CL 22  02;14/04/2023;2023;Abril;14;viernes;22;45;TEUSAQUILLO;Volcamiento;;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10590004;A001569071;-74,1372857;4,709971398;KR 115 - CL 65  02;15/04/2023;2023;Abril;15;sábado;14;12;ENGATIVA;Caida de ocupante;;;Con Heridos;Con Heridos;;;;;;;;;;;SI;;SI;;;SI;;;;;
10590006;A001569342;-74,07812824;4,574296699;CL 9 - TV 7 E 02;15/04/2023;2023;Abril;15;sábado;23;25;SANTA FE;Choque;Vehículo;;Con Heridos;Con Heridos;;SI;;;;SI;;;;;;;;;;;;;;;
10589175;A001568599;-74,12349778;4,678585933;CL 25 D - TV 95 BIS A 02;24/03/2023;2023;Marzo;24;viernes;10;50;FONTIBON;Choque;Objeto Fijo;Poste;Solo Daños;Solo Daños;;SI;;;;;;;;;;;;;;;;;;;
10589247;A001568888;-74,15026186;4,622707313;KR 78 B - CL 36 S 02;25/03/2023;2023;Marzo;25;sábado;14;59;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10589409;A001567926;-74,1621056;4,599738446;KR 71 B - CL 57 B S 02;31/03/2023;2023;Marzo;31;viernes;21;45;BOSA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;SI;;;;;;;;;;;;;;;
10589421;A001569134;-74,03831457;4,760275294;CL 183 - KR 17  02;30/03/2023;2023;Marzo;30;jueves;18;36;USAQUEN;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;;;SI;;;;;;;;;;;;;
10589442;A001568353;-74,10842625;4,5528514;CL 48 P S- KR 5 I 02;27/03/2023;2023;Marzo;27;lunes;11;29;RAFAEL URIBE URIBE;Atropello;;;Con Muertos;Con Muertos;;;;;;SI;SI;SI;;;;;;;;;;;;;
10589535;A001569220;-74,0586665;4,680362203;AU NORTE - CL 93  02;02/04/2023;2023;Abril;2;domingo;18;48;CHAPINERO;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10587122;A001519791;-74,06207089;4,667559596;CL 80 - KR 22  02;04/02/2023;2023;Febrero;4;sábado;1;30;BARRIOS UNIDOS;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10587123;A001566743;-74,09332054;4,665992146;KR 68 - CL 63  02;03/02/2023;2023;Febrero;3;viernes;6;45;TEUSAQUILLO;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;SI;;;;;;;;;;;;;;;
10587124;A001566679;-74,06497983;4,62061813;KR 5 - CL 34  02;04/02/2023;2023;Febrero;4;sábado;14;45;SANTA FE;Choque;Objeto Fijo;Poste;Con Heridos;Con Heridos;;;;;;;;;;;;;;;;;;;;;
10587126;A001519800;-74,12994293;4,517306939;KR 25 - CL 75 BIS S 02;03/02/2023;2023;Febrero;3;viernes;16;40;CIUDAD BOLIVAR;Atropello;;;Con Heridos;Con Heridos;;;;;SI;SI;SI;;;;;;;;;;;;;;
10587127;A001518700;-74,08612929;4,621329765;KR 30 - CL 22 A 02;03/02/2023;2023;Febrero;3;viernes;22;0;TEUSAQUILLO;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;;;;SI;;SI;;;SI;;;;;
10587134;A001519555;-74,0578641;4,680330247;KR 45 - CL 93  02;05/02/2023;2023;Febrero;5;domingo;1;30;CHAPINERO;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10590551;A001570057;-74,12653214;4,649715167;AV AVENIDA BOYACA - CL 17  02;30/04/2023;2023;Abril;30;domingo;23;30;FONTIBON;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;;;;;;;;;;;;;;;;
10590555;A001570170;-74,09268168;4,753093188;KR 104 - CL 152 C 02;04/05/2023;2023;Mayo;4;jueves;14;7;SUBA;Atropello;;;Con Muertos;Con Muertos;;;;;;;SI;SI;;;;;;;;;;;;;
10591476;A001569402;-74,12853579;4,586706068;KR 33 - CL 44 S 02;21/05/2023;2023;Mayo;21;domingo;22;10;TUNJUELITO;Choque;Vehículo;;Con Heridos;Con Heridos;;;SI;;;SI;;;;;;;;;;;;;;;
10590572;A001569489;-74,10284079;4,586277486;KR 24 - CL 18 S 02;28/04/2023;2023;Abril;28;viernes;8;47;ANTONIO NARIÑO;Choque;Vehículo;;Solo Daños;Solo Daños;;;;;;SI;;;;;;;;;;;;;;;
10591475;A001570864;-74,05648333;4,748870936;KR 55 A - CL 166 R BIS 02;18/05/2023;2023;Mayo;18;jueves;16;52;SUBA;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10591479;A001570994;-74,09985707;4,560957945;CL 36 B S- KR 4  02;22/05/2023;2023;Mayo;22;lunes;11;45;SAN CRISTOBAL;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;;;;;SI;;;;;;;;;;;
10591936;A001571227;-74,0998167;4,550047515;KR 1 BIS - DG 42 S 02;02/06/2023;2023;Junio;2;viernes;16;30;SAN CRISTOBAL;Atropello;;;Con Heridos;Con Heridos;;;;;;SI;SI;SI;;;;;;;;;;;;;
10591939;A001571568;-74,10583255;4,712284858;CL 83 - KR 95 D 02;04/06/2023;2023;Junio;4;domingo;12;0;ENGATIVA;Atropello;;;Con Heridos;Con Heridos;;;;;SI;;SI;;;;;;;;;;;;;;
10591954;A001571477;-74,18341545;4,607111521;CL 63 S- KR 80  02;04/06/2023;2023;Junio;4;domingo;21;59;BOSA;Caida de ocupante;;;Con Heridos;Con Heridos;;;;;;;;;;;SI;;SI;;;SI;;;;;
10591957;A001571613;-74,14314545;4,682852687;KR 107 - CL 22 J 02;03/06/2023;2023;Junio;3;sábado;13;45;FONTIBON;Caida de ocupante;;;Con Heridos;Con Heridos;;;;;;;;;;;SI;;SI;;;SI;;;;;
10591962;A001571411;-74,09963397;4,487615603;CL 108 S- KR 8 A E 02;04/06/2023;2023;Junio;4;domingo;20;20;USME;Choque;Objeto Fijo;Inmueble;Con Heridos;Con Heridos;;;;;;;SI;;;;SI;;SI;;;SI;;;;;
10591969;A001570924;-74,14978807;4,677583212;CL 17 - KR 107 A 02;03/06/2023;2023;Junio;3;sábado;11;30;FONTIBON;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;SI;;SI;;;SI;;;;;
10591972;A001571481;-74,1377951;4,628464785;AV AVENIDA BOYACA - CL 5 A 02;04/06/2023;2023;Junio;4;domingo;4;30;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;;;SI;;;;;;;;;;;;;
10591992;A001571339;-74,19249836;4,603988836;KR 79 - CL 70 A S 02;02/06/2023;2023;Junio;2;viernes;14;5;BOSA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;SI;;;;;;;;;;;;;;;;
10591995;A001571150;-74,07963072;4,630845104;KR 30 - CL 40 A 02;03/06/2023;2023;Junio;3;sábado;21;10;TEUSAQUILLO;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10591999;A001570903;-74,1322976;4,615719166;KR 69 B - CL 22 S 02;05/06/2023;2023;Junio;5;lunes;8;20;KENNEDY;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;;;SI;;SI;;;;;;;;;;;
10592013;A001569950;-74,10289407;4,743205564;KR 111 B - CL 139  02;02/03/2023;2023;Marzo;2;jueves;11;5;SUBA;Atropello;;;Con Heridos;Con Heridos;;;;;;;SI;SI;;;SI;;;;;;;;;;
10592016;A001571223;-74,05494065;4,699425079;AU NORTE - CL 116  02;02/03/2023;2023;Marzo;2;jueves;11;16;USAQUEN;Choque;Vehículo;;Con Heridos;Con Heridos;;;;;;SI;;;;;;;;;;;;;;;
10592019;A001571555;-74,16734691;4,595704987;CL 57 R S- KR 72  02;03/06/2023;2023;Junio;3;sábado;5;58;BOSA;Choque;Vehículo;;Con Heridos;Con Heridos;;SI;;;;SI;;;;;;;;;;;;;;;
10592725;A001572510;-74,13163285;4,602304236;CL 38 S- KR 52 C 02;22/06/2023;2023;Junio;22;jueves;12;35;PUENTE ARANDA;Choque;Vehículo;;Solo Daños;Solo Daños;;;;;;;;;;;;;;;;;;;;;
10592741;A001571739;-74,08469025;4,745330608;KR 92 - CL 150  02;25/06/2023;2023;Junio;25;domingo;21;35;SUBA;Choque;Objeto Fijo;Inmueble;Con Heridos;Con Heridos;;;SI;;;;;;;;;;;;;;;;;;
10592744;A001572239;-74,10672319;4,677099854;CL 63 - KR 74 A 02;25/06/2023;2023;Junio;25;domingo;18;35;ENGATIVA;Choque;Vehículo;;Con Heridos;Con Heridos;SI;;;;;;;SI;;;;;;;;;;;;;
