Categoría,ID Producto,Costo estimado,ISBN,Título,Autor,Calificaciones,Unidades Restantes,Descuento,Precio Anterior,Precio Actual
Artes,51621405,10186.755,9789585549142,El camino del artista,Julia Cameron,118,100+,25%dcto.,$ 62.000,$ 46.500
Artes,42069685,8050.8225,9789588789774,El resplandor,Stephen King,122,48,25%dcto.,$ 49.000,$ 36.750
Artes,52837076,10942.5465,9789585266322,La depresión (no) existe,"Juan Carlos Rincón Escalante, Cecilia Ramos Valencia",222,2,,,$ 49.950
Artes,53109960,12322.6875,9789585245518,Persépolis,Marjane Satrapi,18,100+,25%dcto.,$ 75.000,$ 56.250
Artes,53700009,4600.47,9789585367104,Carmilla,Sheridan Le Fanu,57,33,30%dcto.,$ 30.000,$ 21.000
Artes,53098711,22838.0475,9789585581432,El amor en los tiempos del cólera (edición ilustrada),Gabriel García Márquez,46,52,25%dcto.,$ 139.000,$ 104.250
Artes,53698091,7393.6125,9786287513075,El mesías de Dune (Dune 2),Frank Herbert,26,100+,25%dcto.,$ 45.000,$ 33.750
Artes,55004875,19551.9975,9789585457805,Beyond the Story. Crónica de 10 Años de BTS,Myeongseok Kang,87,51,25%dcto.,$ 119.000,$ 89.250
Artes,53051153,13996.121,9781644732922,Roba Como un Artista: Las 10 Cosas que Nadie te ha Dicho Acerca de ser Creativo,"Kleon, Austin",4,50,50%dcto.,$ 127.778,$ 63.889
Artes,45142362,7557.915,9789588820873,Carrie,Stephen King,49,92,25%dcto.,$ 46.000,$ 34.500
Artes,53723975,10679.6625,9786287514157,Balada de pájaros cantores y serpientes,Suzanne Collins,24,60,25%dcto.,$ 65.000,$ 48.750
Artes,51598673,35107.50099,9781506711980,Berserk Deluxe Volume 1 (en Inglés),"Miura, Kentaro ; Miura, Kentaro ; Deangelis, Jason",57,5,50%dcto.,$ 320.514,$ 160.257
Artes,51493477,11285.1895056,9789585446601,Los muiscas,Carl Henrik Langebaek,12,20,15%dcto.,$ 60.605,$ 51.514
Artes,55824948,15084.06485,9786072949201,El Burdel de las Parafilias,Andrea Ramos,12,11,50%dcto.,$ 137.710,$ 68.855
Artes,53970522,13472.805,9788418052071,Hierba / Grass,"Gendry-Kim, Keum Suk",33,56,25%dcto.,$ 82.000,$ 61.500
Artes,48508603,10937.28882,9780762459810,The Screaming Goat (Book & Figure) (en Inglés),Running Press ; Running Press,1,9,50%dcto.,$ 99.851,$ 49.926
Artes,51975002,18524.289,9781452168661,Studio Ghibli: 100 Collectible Postcards: Final Frames From the Feature Films (en Inglés),Studio Ghibli,61,100+,50%dcto.,$ 169.118,$ 84.559
Artes,54480492,23351.240076923,9780593652886,The Creative Act: A way of Being (en Inglés),"Rubin, Rick",12,Queda 1 unidad,55%dcto.,$ 236.872,$ 106.593
Artes,53328111,10679.6625,9789584294753,Los Compas Perdidos en el Espacio,El Trollino .,22,13,25%dcto.,$ 65.000,$ 48.750
Artes,4218965,16572.6455,9788484284468,"El Guión Sustancia, Estructura, Estilo y Principios de la Escritura de Guiones",Robert Mckee,36,100+,15%dcto.,$ 89.000,$ 75.650
Artes,2477800,36432.23,9780714898704,La Historia del Arte,"Gombrich, Eh",45,14,50%dcto.,$ 332.608,$ 166.304
Artes,54247360,32096.75,9781974733538,The Art of Haikyu!!: Endings and Beginnings (en Inglés),"Furudate, Haruichi",36,10,50%dcto.,$ 293.027,$ 146.514
Artes,54223191,10186.755,9786287539112,El Arte de Escuchar,Julia Cameron,6,100+,25%dcto.,$ 62.000,$ 46.500
Artes,52993772,11336.8725,9789584289872,Música Sólo Música,Haruki Murakami,10,19,25%dcto.,$ 69.000,$ 51.750
Artes,53912137,9191.73906,9788491748717,Asadora! nº 02 - Naoki Urasawa - Libro Físico,Naoki Urasawa,Calificaciones no disponibles,3,,,$ 41.958
Artes,53420802,21011.158384615,9788412033458,Las Recetas de las Películas del Studio Ghibli,Minh-Tri Vo,65,17,55%dcto.,$ 213.135,$ 95.911
Artes,51420994,22467.739846154,9788425231865,El Diseño Como Storytelling,"Lupton, Ellen",5,10,55%dcto.,$ 227.910,$ 102.560
Artes,47293570,17990.542730769,9788425228858,Aprende a Promocionar tu Trabajo,Austin Kleon,8,10,55%dcto.,$ 182.494,$ 82.122
Artes,30227638,14338.1315,9788420675558,Sobre la Libertad,John Stuart Mill,7,Queda 1 unidad,15%dcto.,$ 77.000,$ 65.450
Artes,53581803,9693.8475,9789584295446,A Fuego Lento,Paula Hawkins,41,13,25%dcto.,$ 59.000,$ 44.250
Artes,1449156,18434.7405,9788430534821,Atlas Ilustrado de la Historia del Arte,Inc. Susaeta Publishing,11,28,15%dcto.,$ 99.000,$ 84.150
Artes,54648750,6506.379,9788418703508,"Aventuras En El Tiempo: Películas Que Viajan Por El Pasado, Presente Y Futuro.","Pastor, Doc",Calificaciones no disponibles,2,70%dcto.,$ 99.000,$ 29.700
Artes,52841429,6133.96,9789585219670,Historias de Terror,H P Lovecraft,10,49,30%dcto.,$ 40.000,$ 28.000
Artes,54971266,14878.13905,9788418703614,Leer Música Es Fácil: Todo Lo Que Hay Que Saber Sobre La Notación Musical,"Baxter, Harry",Calificaciones no disponibles,2,15%dcto.,$ 79.900,$ 67.915
Artes,55678346,19551.9975,9788439741367,Recuerdos de Montañas Lejanas,Orhan Pamuk,1,17,25%dcto.,$ 119.000,$ 89.250
Artes,42069705,8708.0325,9789588820385,Ojos de Fuego,Stephen King,3,8,25%dcto.,$ 53.000,$ 39.750
Artes,56504650,12476.0365,9788418933493,El Invitado de Drácula y Otros Relatos,Bram Stoker,2,12,15%dcto.,$ 67.000,$ 56.950
Artes,53943783,25954.82,9783836587532,Japanese Woodblock Prints. 40Th ed. (en Inglés),"Marks, Andreas",3,Queda 1 unidad,50%dcto.,$ 236.955,$ 118.477
Artes,54642379,36723.135461538,9788412386172,Los Colores de la Naturaleza,Patrick Baty,2,4,55%dcto.,$ 372.515,$ 167.632
Artes,1797774,13080.853,9780061140013,Mero Cristianismo,"Lewis, C. S.",11,100+,50%dcto.,$ 119.422,$ 59.711
Artes,54376340,16740.23405,9788418703416,Frida de la A A La Z: La Vida de Un Icono del Activismo a la Cultura Zapoteca,"Harrison, Susanna ; Bailey, Nadia",1,34,15%dcto.,$ 89.900,$ 76.415
Artes,48176864,18730.772653846,9788425230202,"Roba Como Un Artista, El Diario","Kleon, Austin",9,26,55%dcto.,$ 190.003,$ 85.501
Artes,47636157,21195.0225,9786070737336,El laberinto de los espíritus,Carlos Ruiz Zafón,Calificaciones no disponibles,Queda 1 unidad,25%dcto.,$ 129.000,$ 96.750
Artes,50037225,24481.0725,9788417125639,Lo que más me gusta son los monstruos,Emil Ferris,10,26,25%dcto.,$ 149.000,$ 111.750
Artes,53177392,20939.523230769,9788499888453,"El Viaje del Héroe: Mitología, Storytelling Y Transformación Personal","Racionero Ragué, Alexis",2,50,55%dcto.,$ 212.408,$ 95.584
Artes,6989077,14710.5505,9788496509726,La Condesa Sangrienta,Alejandra Pizarnik,17,Queda 1 unidad,15%dcto.,$ 79.000,$ 67.150
Artes,1093833,4699.0515,9780789910820,"ciencia de la oración, la - bolsillo","Ávila, Yiye",1,53,25%dcto.,$ 28.600,$ 21.450
Artes,51485721,20855.464,9788425441806,"Loa a la tierra, Un viaje al jardín","Han, Byung-Chul",21,12,15%dcto.,$ 112.000,$ 95.200
Artes,2476001,12474.50301,9788497594370,Christine,Stephen King,10,Queda 1 unidad,,,$ 56.943
Artes,4672929,32610.302173913,9788499892719,Historia de la fealdad,Umberto Eco,36,43,50%dcto.,$ 297.716,$ 148.858
"Biografías, Literatura Y Estudios Literarios",53673295,12322.6875,9789584297969,Una Corte de Rosas y Espinas,Sarah J. Maas,48,31,25%dcto.,$ 75.000,$ 56.250
"Biografías, Literatura Y Estudios Literarios",53338602,9693.8475,9789585579873,El infinito en un junco,Irene Vallejo,196,100+,25%dcto.,$ 59.000,$ 44.250
"Biografías, Literatura Y Estudios Literarios",48946752,9693.8475,9789585433564,Pensar Rápido Pensar Despacio,Daniel Kahneman,69,100+,25%dcto.,$ 59.000,$ 44.250
"Biografías, Literatura Y Estudios Literarios",54294884,3279.4779,9780593237465,The Light We Carry: Overcoming in Uncertain Times (en Inglés),"Obama, Michelle",3,3,70%dcto.,$ 49.900,$ 14.970
"Biografías, Literatura Y Estudios Literarios",62020124,11283.3646525,9786075974538,Llámame Cuando no te Encuentres,Gilraen Eärfalas,8,100,15%dcto.,$ 60.595,$ 51.506
"Biografías, Literatura Y Estudios Literarios",17585775,8050.8225,9789588611808,Paula,Isabel Allende,38,62,25%dcto.,$ 49.000,$ 36.750
"Biografías, Literatura Y Estudios Literarios",53435378,16124.8116525,9789974878068,Valentía,"Torres, Kelbin",10,100,15%dcto.,$ 86.595,$ 73.606
"Biografías, Literatura Y Estudios Literarios",53054496,9858.15,9781524763169,A Promised Land (en Inglés),Barack Obama,7,7,70%dcto.,$ 150.000,$ 45.000
"Biografías, Literatura Y Estudios Literarios",51812535,18062.3215,9786075279794,Maestría,Robert Greene,21,52,15%dcto.,$ 97.000,$ 82.450
"Biografías, Literatura Y Estudios Literarios",55725609,36723.135461538,9788419599216,Orgullo y Prejuicio (colección Jardín Secreto),"Austen, Jane; Bastin, Marjolein",136,39,55%dcto.,$ 372.515,$ 167.632
"Biografías, Literatura Y Estudios Literarios",52098939,9693.8475,9789585581081,La campana de cristal,Sylvia Plath,17,65,25%dcto.,$ 59.000,$ 44.250
"Biografías, Literatura Y Estudios Literarios",53109960,12322.6875,9789585245518,Persépolis,Marjane Satrapi,18,100+,25%dcto.,$ 75.000,$ 56.250
"Biografías, Literatura Y Estudios Literarios",49186236,12322.6875,9789584264831,La Bailarina de Auschwitz,Edith Eger,114,27,25%dcto.,$ 75.000,$ 56.250
"Biografías, Literatura Y Estudios Literarios",48934699,12483.442045455,9789588979755,"En esta noche, en este mundo",Alejandra Pizarnik,35,38,50%dcto.,$ 113.968,$ 56.984
"Biografías, Literatura Y Estudios Literarios",47790299,10679.6625,9789588821337,Nunca te pares,Phil Knight,22,58,25%dcto.,$ 65.000,$ 48.750
"Biografías, Literatura Y Estudios Literarios",53969075,29587.215217391,9788466361217,TRILOGIA HARARI: SAPIENS / HOMO DEUS / 21 LECCIONES PARA EL SIGLO XXI (ESTUCHE),Noah Harari Yuval,48,5,50%dcto.,$ 270.117,$ 135.058
"Biografías, Literatura Y Estudios Literarios",47874557,17289.22347,9789588639871,Poesía completa,Alejandra Pizarnik,25,7,,,$ 78.921
"Biografías, Literatura Y Estudios Literarios",53598993,4912.64475,9789584297082,Este es el cordero de Dios,Juan Pablo Barrientos,45,98,25%dcto.,$ 29.900,$ 22.425
"Biografías, Literatura Y Estudios Literarios",28069655,13947.09155,9788415689485,Libro del Desasosiego,Fernando Pessoa,3,49,15%dcto.,$ 74.900,$ 63.665
"Biografías, Literatura Y Estudios Literarios",53091011,4587.3258,9789585564787,1984,George Orwell,10,26,40%dcto.,$ 34.900,$ 20.940
"Biografías, Literatura Y Estudios Literarios",54072616,6900.705,9789585165212,Infocracia,Byung-Chul Han,18,66,25%dcto.,$ 42.000,$ 31.500
"Biografías, Literatura Y Estudios Literarios",35643491,12979.8975,9789584237033,El Mundo y sus Demonios,Carl Sagan,53,71,25%dcto.,$ 79.000,$ 59.250
"Biografías, Literatura Y Estudios Literarios",53660092,8050.8225,9789584297488,"Una Vida, Muchas Vidas",Gustavo Petro,257,17,25%dcto.,$ 49.000,$ 36.750
"Biografías, Literatura Y Estudios Literarios",53579003,8543.73,9789584296672,LA BRUJA,Germán Castro Caycedo,8,24,25%dcto.,$ 52.000,$ 39.000
"Biografías, Literatura Y Estudios Literarios",52444759,2950.8729,9788497408486,La Ausencia y el Olvido,Luis Alberto Becerra,3,5,70%dcto.,$ 44.900,$ 13.470
"Biografías, Literatura Y Estudios Literarios",54036883,4107.5625,9789585581937,Soy Vertical Pero Preferiría ser Horizontal,Sylvia Plath,3,14,25%dcto.,$ 25.000,$ 18.750
"Biografías, Literatura Y Estudios Literarios",55605543,18602.32905,9786287669017,Elon Musk,Walter Isaacson,7,4,,,$ 84.915
"Biografías, Literatura Y Estudios Literarios",49030878,10515.36,9789585428355,El olvido que seremos,Héctor Abad Faciolince,186,100+,25%dcto.,$ 64.000,$ 48.000
"Biografías, Literatura Y Estudios Literarios",54381503,20296.8355,9788426425485,Diarios,Alejandra Pizarnik,25,39,15%dcto.,$ 109.000,$ 92.650
"Biografías, Literatura Y Estudios Literarios",51973702,8050.8225,9789584280695,Las muertes chiquitas,Margarita Posada,25,15,25%dcto.,$ 49.000,$ 36.750
"Biografías, Literatura Y Estudios Literarios",30164543,10022.4525,9789588773568,STEVE JOBS,Walter Isaacson,26,57,25%dcto.,$ 61.000,$ 45.750
"Biografías, Literatura Y Estudios Literarios",52418913,17970.311,9786070767302,Mentalidad Mamba / The Mamba Mentality: Los Secretos de Mi Éxito,"Bryant, Kobe",39,Queda 1 unidad,50%dcto.,$ 164.060,$ 82.030
"Biografías, Literatura Y Estudios Literarios",53985549,6736.4025,9786071672735,Novelas III. Agua Viva / la Hora de la Estrella / un Soplo de Vida,Clarice Lispector,3,20,25%dcto.,$ 41.000,$ 30.750
"Biografías, Literatura Y Estudios Literarios",53986966,4587.3258,9789585191723,La Señora Dalloway,Virginia Woolf,6,4,40%dcto.,$ 34.900,$ 20.940
"Biografías, Literatura Y Estudios Literarios",51423849,4107.5625,9789585458697,Morí por la belleza,Emily Dickinson,27,72,25%dcto.,$ 25.000,$ 18.750
"Biografías, Literatura Y Estudios Literarios",53693514,6900.705,9789584297648,Baluarte,Elvira Sastre,11,12,25%dcto.,$ 42.000,$ 31.500
"Biografías, Literatura Y Estudios Literarios",54068547,8050.8225,9786280001272,No Pongas un Punto Donde Dios Puso una Coma,Shiva Ryu,6,48,25%dcto.,$ 49.000,$ 36.750
"Biografías, Literatura Y Estudios Literarios",35974623,12084.99655,9788415689928,"Utilidad de Lo Inútil, La","Ordine, Nuccio",35,50,15%dcto.,$ 64.900,$ 55.165
"Biografías, Literatura Y Estudios Literarios",30943845,7065.0075,9789588773988,La teoría del todo,Stephen Hawking,32,20,25%dcto.,$ 43.000,$ 32.250
"Biografías, Literatura Y Estudios Literarios",48934786,4107.5625,9789588979779,Poesía de amor,Pablo Neruda,13,38,25%dcto.,$ 25.000,$ 18.750
"Biografías, Literatura Y Estudios Literarios",53970522,13472.805,9788418052071,Hierba / Grass,"Gendry-Kim, Keum Suk",33,56,25%dcto.,$ 82.000,$ 61.500
"Biografías, Literatura Y Estudios Literarios",53698085,6900.705,9786287513082,La Loca de la Casa,Rosa Montero,7,42,25%dcto.,$ 42.000,$ 31.500
"Biografías, Literatura Y Estudios Literarios",52798210,18434.7405,9788417977177,Teoria de la Gravedad 2ªEd Ampliada (Libros del Asteroide),Leila Guerriero,7,5,15%dcto.,$ 99.000,$ 84.150
"Biografías, Literatura Y Estudios Literarios",55849923,21471.0507,9788433922069,La Llamada,"Guerriero, Leila",4,22,,,$ 98.010
"Biografías, Literatura Y Estudios Literarios",50598124,9036.6375,9789584271006,El sol y sus Flores,Rupi Kaur,54,6,25%dcto.,$ 55.000,$ 41.250
"Biografías, Literatura Y Estudios Literarios",49903602,11568.581818182,9788417244002,Los mejores cuentos de H. P. Lovecraft,H. P. Lovecraft,13,5,50%dcto.,$ 105.615,$ 52.808
"Biografías, Literatura Y Estudios Literarios",53660263,5638.8618,9789585191464,Crimen y Castigo,Fiódor M. Dostoyevski,4,9,40%dcto.,$ 42.900,$ 25.740
"Biografías, Literatura Y Estudios Literarios",48934666,7393.6125,9789589016893,Trochas y fusiles,Alfredo Molano Bravo,13,59,25%dcto.,$ 45.000,$ 33.750
"Biografías, Literatura Y Estudios Literarios",51423073,8543.73,9789580100683,Autobiografia de un hombre feliz,Benjamin Franklin,10,20,25%dcto.,$ 52.000,$ 39.000
"Biografías, Literatura Y Estudios Literarios",53959558,13472.805,9788426409690,Malas Mujeres / Bad Women,"Hesse, María",13,Queda 1 unidad,25%dcto.,$ 82.000,$ 61.500
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",54240824,19370.952380952,9788466671668,El Capital en la era del Antropoceno,"Saito, Kohei",6,100+,50%dcto.,$ 176.847,$ 88.424
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",51813037,14881.86324,9789585446687,Orígenes,Lewis Dartnell,33,Queda 1 unidad,,,$ 67.932
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",56143161,22014.050538462,9788439743897,La Vegetariana,Han Kang,1,98,55%dcto.,$ 223.308,$ 100.489
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",54273222,22002.111346154,9788411001014,Un Mundo Inmenso,Un mundo inmenso,25,26,55%dcto.,$ 223.187,$ 100.434
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",54899369,8050.8225,9786287583191,El laboratorio de Faber,Faber Burgos,18,100+,25%dcto.,$ 49.000,$ 36.750
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",52974075,24795.882346154,9780241433423,La Ciencia de las Especias,Dr. Stuart Farrimond; Stuart Farrimond,30,29,55%dcto.,$ 251.527,$ 113.187
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",56620275,6889.7515,9786289577785,La Vorágine,José Eustasio Rivera,Calificaciones no disponibles,11,15%dcto.,$ 37.000,$ 31.450
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",53142999,10186.755,9789585457508,Cómo evitar un desastre climático,Bill Gates,14,4,25%dcto.,$ 62.000,$ 46.500
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",52017541,19827.400869048,9786073184342,Auge y Caida de los Dinosaurios,Steve Brusatte,11,100+,50%dcto.,$ 181.014,$ 90.507
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",49130503,15608.7375,9789584264053,El Río: Exploraciones y Descubrimientos en la Selva Amazónica,Wade Davis,16,37,25%dcto.,$ 95.000,$ 71.250
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",61984023,23276.1875,9789873831874,Cuando las plantas hacen lo que les da la gana - Concebir un mundo sin producción ni economía,Dusan Kazic,2,7,15%dcto.,$ 125.000,$ 106.250
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",48934722,9365.2425,9789588931876,El problema de la tierra,Absalón Machado,1,2,25%dcto.,$ 57.000,$ 42.750
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",28854929,21285.759807692,9788446037996,Ciudades Rebeldes: Del Derecho de la Ciudad a la Revolución Urbana,David Harvey,10,Queda 1 unidad,55%dcto.,$ 215.920,$ 97.164
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",40640108,30347.606769231,9788498794915,El tao de la Liberación. Una Ecología de la Transformación (Estructuras y Procesos. Religión),"Mark Hathaway,Leonardo Boff,",1,30,55%dcto.,$ 307.843,$ 138.529
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",48480629,16987.650576923,9780393354324,"Guns, Germs, and Steel: The Fates of Human Societies (en Inglés)","Diamond, Jared",2,51,55%dcto.,$ 172.321,$ 77.544
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",56135912,17994.397,9780063395695,Braiding Sweetgrass / Una Trenza de Hierba Sagrada (Spanish Edition),Robin Wall Kimmerer,Calificaciones no disponibles,4,50%dcto.,$ 164.280,$ 82.140
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",53281219,21321.577384615,9788430623822,Mision Economia: Una Carrera Espacial Para Cambiar el Capitalismo,Mariana Mazzucato,2,30,55%dcto.,$ 216.284,$ 97.328
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",49984193,10351.0575,9789585425507,Por qué los ricos se vuelven más ricos,Robert T. Kiyosaki,6,7,25%dcto.,$ 63.000,$ 47.250
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",4595850,5586.285,9786071606457,La Muerte y sus Ventajas,Marcelino Cereijido,2,5,25%dcto.,$ 34.000,$ 25.500
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",53173921,22014.050538462,9788418056352,Los números no mienten,Vaclav Smil,7,30,55%dcto.,$ 223.308,$ 100.489
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",52987744,29447.29,9781571311771,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants (en Inglés)","Kimmerer, Robin Wall",Calificaciones no disponibles,100+,50%dcto.,$ 268.839,$ 134.420
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",50657777,35817.967391304,9788494884863,Mapas del Mundo,Varios Autores,1,37,50%dcto.,$ 327.000,$ 163.500
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",4383964,17043,9780307389046,The Tiger: A True Story of Vengeance and Survival (Vintage Departures) (en Inglés),"Vaillant, John",Calificaciones no disponibles,50,50%dcto.,$ 155.594,$ 77.797
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",2418617,30920.688,9788496453326,Postmetrópolis: Estudios Críticos Sobre las Ciudades y las Regiones,Edward W. Soja,2,3,55%dcto.,$ 313.656,$ 141.145
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",56020908,15018.56622619,9786075696706,Un Geólogo En Apuros: Un Viaje a Través del Tiempo Y Hacia Lo Más Profundo de la Tierra / A Geologist in Trouble: A Journey Through Time and Deep Into,"Méndez, Nahúm",Calificaciones no disponibles,100+,50%dcto.,$ 137.112,$ 68.556
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",47256746,22085.685692308,9788498886795,Saberes para la sustentabilidad (PERSPECTIVAS AGROECOLÓGICAS),Micheline Cariño (Méxic),1,50,55%dcto.,$ 224.035,$ 100.816
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",47255677,14405.583,9786073139250,"Armas, Germenes Y Acero / Guns, Germs, and Steel: The Fates of Human Societies","Diamond, Jared",4,22,50%dcto.,$ 131.516,$ 65.758
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",50659494,27709.045269231,9788416230464,El cielo de Colón: técnicas navales y astronómicas en el viaje del Descubrimiento,José Luis Comellas García-Llera,Calificaciones no disponibles,50,55%dcto.,$ 281.078,$ 126.485
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",53147152,23834.816,9788437642000,Diccionario de Turismo,Asunci&Oacute;N Blanco Romero; Maci&Agrave; Bl&Aacute;Zquez Salom; Manuel De La Calle Vaquero; Alfonso Fern&Aacute;Ndez Tabales; Mar&Iacute;A Garc&Iacute;A Hern&Aacute;Ndez; Rub&Eacute;N C. Lois Gonz&Aacute;Lez; M.&Ordf; Del Carmen M&Iacute;Nguez Garc&Iac,Calificaciones no disponibles,Queda 1 unidad,15%dcto.,$ 128.000,$ 108.800
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",53299765,19482.941769231,9788425233319,Especies Vagabundas ¿Una Amenaza?,"Zelich Martínez, Cristina ; Francis, Gilles",Calificaciones no disponibles,10,55%dcto.,$ 197.633,$ 88.935
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",53597666,8844.0202025,9788413390789,El Sentido del Asombro,Rachel Carson,Calificaciones no disponibles,100,15%dcto.,$ 47.495,$ 40.371
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",52834705,20629.104230769,9788417809492,Qué Puede Salir Mal? Cómo Sobrevivir a un Mundo que Intenta Matarte (Plan b),Hiperactina,16,30,55%dcto.,$ 209.259,$ 94.167
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",52980410,18006.44,9781950354313,The Rare Metals War: The Dark Side of Clean Energy and Digital Technologies (en Inglés),"Pitron, Guillaume ; Jacobsohn, Bianca",Calificaciones no disponibles,14,50%dcto.,$ 164.390,$ 82.195
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",52794577,8050.8225,9789585121102,Cooperación o extinción,Noam Chomsky,28,4,25%dcto.,$ 49.000,$ 36.750
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",53188708,22730.402076923,9788499429687,Querido Lider: La Vida Cotidiana en Corea del Norte,Barbara Demick,Calificaciones no disponibles,30,55%dcto.,$ 230.575,$ 103.759
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",3303687,20473.894730769,9788474264494,"El Plasma de Quinton: El Agua de Mar, Nuestro Medio Interno",André Mahé,2,2,55%dcto.,$ 207.685,$ 93.458
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",53156879,16043.431,9780062975621,Sand Talk: How Indigenous Thinking can Save the World (en Inglés),"Yunkaporta, Tyson",Calificaciones no disponibles,12,50%dcto.,$ 146.469,$ 73.234
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",51800765,13370.075307692,9788408210689,El Enigma de Colón y Descubrimientos de Amèrica,Libros De Juan Eslava Galán,1,30,55%dcto.,$ 135.625,$ 61.031
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",4710369,15684.404869048,9788498166910,la aventura del amazonas,"Carvajal, Gaspar de",Calificaciones no disponibles,100,50%dcto.,$ 143.191,$ 71.595
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",53593222,77258,9780998547763,Discover Qgis 3. X: A Workbook for Classroom or Independent Study (en Inglés),"Menke, Kurt",Calificaciones no disponibles,69,50%dcto.,$ 705.327,$ 352.664
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",2000879,15838.7,9781401309664,The Long Tail: Why the Future of Business is Selling Less of More (en Inglés),"Anderson, Chris",1,50,50%dcto.,$ 144.599,$ 72.300
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",52101877,10351.0575,9789585446823,El planeta inhóspito,David Wallace-Wells,7,7,25%dcto.,$ 63.000,$ 47.250
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",54880674,19018.157954545,9788466674249,Cómo Hacer Grandes Cosas / How Big Things Get Done,"Flyvbjerg, Bent ; Gardner, Dan",Calificaciones no disponibles,5,50%dcto.,$ 173.626,$ 86.813
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",47256843,21227.883,9788446042761,Hacia la Ciudad de Umbrales,StavridesStavros,Calificaciones no disponibles,4,15%dcto.,$ 114.000,$ 96.900
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",52009633,19996.327038462,9788417942168,Sostenibilidad con Proposito,Ana Palencia,1,2,55%dcto.,$ 202.841,$ 91.278
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",2931347,28437.336,9788472070639,Procesos Geologicos Internos,"Francisco Anguita Virella,Fernando Moreno Serrano",Calificaciones no disponibles,2,55%dcto.,$ 288.465,$ 129.809
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",46416563,29261.140269231,9788428335164,Petrografía de Rocas Ígneas y Metamórficas,Antonio Castro Dorado,Calificaciones no disponibles,2,55%dcto.,$ 296.822,$ 133.570
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",53699984,21450.588636364,9788412040470,Devenir Animal: Una Cosmología Terrestre,David Abram,Calificaciones no disponibles,Queda 1 unidad,50%dcto.,$ 195.833,$ 97.917
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",3341025,26897.180192308,9788487695162,Paleontologia y Evolucion Vertebrados,Michael J. Benton,3,Queda 1 unidad,55%dcto.,$ 272.842,$ 122.779
"Ciencias De La Tierra, Geografía, Medioambiente, Planificación",55082276,15269.179,9789873831768,Cuando el lobo viva con el cordero,Vinciane Despret,1,Queda 1 unidad,15%dcto.,$ 82.000,$ 69.700
Computación Y Tecnología De La Información,54072616,6900.705,9789585165212,Infocracia,Byung-Chul Han,18,66,25%dcto.,$ 42.000,$ 31.500
Computación Y Tecnología De La Información,53660926,7229.31,9789585165106,No-cosas,Byung-Chul Han,35,56,25%dcto.,$ 44.000,$ 33.000
